Image,target
508.jpg,kuchipudi
246.jpg,odissi
473.jpg,bharatanatyam
485.jpg,kuchipudi
128.jpg,bharatanatyam
410.jpg,kuchipudi
465.jpg,kuchipudi
196.jpg,kathakali
340.jpg,sattriya
467.jpg,kuchipudi
306.jpg,mohiniyattam
171.jpg,kuchipudi
323.jpg,kuchipudi
332.jpg,sattriya
330.jpg,sattriya
170.jpg,bharatanatyam
479.jpg,bharatanatyam
9.jpg,bharatanatyam
283.jpg,mohiniyattam
114.jpg,bharatanatyam
507.jpg,odissi
183.jpg,kathakali
200.jpg,kathakali
457.jpg,odissi
264.jpg,mohiniyattam
194.jpg,kathakali
518.jpg,odissi
175.jpg,kathak
64.jpg,kathak
152.jpg,odissi
270.jpg,mohiniyattam
125.jpg,kuchipudi
38.jpg,kathak
440.jpg,kuchipudi
302.jpg,mohiniyattam
394.jpg,kuchipudi
448.jpg,odissi
463.jpg,odissi
20.jpg,kathak
301.jpg,odissi
28.jpg,kathak
61.jpg,bharatanatyam
398.jpg,odissi
349.jpg,odissi
271.jpg,mohiniyattam
286.jpg,sattriya
431.jpg,kathak
316.jpg,mohiniyattam
224.jpg,kathakali
411.jpg,odissi
278.jpg,mohiniyattam
456.jpg,odissi
45.jpg,kathak
324.jpg,sattriya
6.jpg,kathak
59.jpg,sattriya
86.jpg,manipuri
470.jpg,odissi
374.jpg,kuchipudi
132.jpg,bharatanatyam
216.jpg,kathakali
95.jpg,manipuri
17.jpg,odissi
162.jpg,bharatanatyam
346.jpg,odissi
439.jpg,kuchipudi
232.jpg,kathakali
150.jpg,odissi
401.jpg,odissi
145.jpg,odissi
23.jpg,odissi
514.jpg,odissi
193.jpg,kathakali
416.jpg,odissi
447.jpg,odissi
220.jpg,kathakali
505.jpg,bharatanatyam
147.jpg,bharatanatyam
210.jpg,kathakali
40.jpg,kathak
284.jpg,mohiniyattam
55.jpg,kuchipudi
378.jpg,odissi
520.jpg,odissi
484.jpg,odissi
112.jpg,bharatanatyam
360.jpg,sattriya
317.jpg,kathak
71.jpg,manipuri
202.jpg,kathakali
92.jpg,manipuri
11.jpg,kathak
67.jpg,odissi
138.jpg,bharatanatyam
506.jpg,odissi
146.jpg,bharatanatyam
318.jpg,sattriya
198.jpg,kathakali
375.jpg,odissi
41.jpg,kuchipudi
421.jpg,sattriya
129.jpg,mohiniyattam
14.jpg,kathak
460.jpg,odissi
34.jpg,kathak
380.jpg,kuchipudi
238.jpg,kathakali
392.jpg,kuchipudi
80.jpg,manipuri
517.jpg,odissi
13.jpg,kathak
189.jpg,kathakali
390.jpg,kuchipudi
487.jpg,odissi
438.jpg,kuchipudi
482.jpg,odissi
206.jpg,kathakali
217.jpg,kathakali
285.jpg,mohiniyattam
385.jpg,kuchipudi
495.jpg,odissi
269.jpg,odissi
429.jpg,kuchipudi
291.jpg,mohiniyattam
461.jpg,kuchipudi
256.jpg,mohiniyattam
48.jpg,mohiniyattam
290.jpg,mohiniyattam
437.jpg,odissi
498.jpg,odissi
173.jpg,odissi
280.jpg,mohiniyattam
119.jpg,bharatanatyam
363.jpg,kuchipudi
97.jpg,manipuri
414.jpg,kuchipudi
386.jpg,kuchipudi
424.jpg,kathak
157.jpg,bharatanatyam
33.jpg,kathak
354.jpg,kuchipudi
57.jpg,kathak
108.jpg,manipuri
239.jpg,kathakali
441.jpg,kathak
215.jpg,kathakali
373.jpg,kathak
292.jpg,mohiniyattam
110.jpg,manipuri
510.jpg,kuchipudi
275.jpg,mohiniyattam
366.jpg,bharatanatyam
226.jpg,manipuri
35.jpg,kathak
458.jpg,odissi
358.jpg,sattriya
